environment | time (second),E | Na (millimolar),E | E (millimolar),E | E' (millimolar/second),E_ | E_ (millimolar),E_ | E_' (millimolar/second),ECl | ECl (millimolar),ECl | ECl' (millimolar/second),ECl_ | ECl_ (millimolar),ECl_ | ECl_' (millimolar/second),ED | ED (millimolar),ED | ED' (millimolar/second),ED_ | ED_ (millimolar),ED_ | ED_' (millimolar/second),ENa | ENa (millimolar),ENa | ENa' (millimolar/second),ENa_ | ENa_ (millimolar),ENa_ | ENa_' (millimolar/second),ENaCl | ENaCl (millimolar),ENaCl | ENaCl' (millimolar/second),ENaCl_ | ENaCl_ (millimolar),ENaCl_ | ENaCl_' (millimolar/second),ENaD | ENaD (millimolar),ENaD | ENaD' (millimolar/second),ENaD_ | ENaD_ (millimolar),ENaD_ | ENaD_' (millimolar/second),reaction_constants | Cl (millimolar),reaction_constants | Cl_ (millimolar),reaction_constants | D (millimolar),reaction_constants | D_ (millimolar),reaction_constants | k1 (second_order_rate_constant),reaction_constants | k10 (first_order_rate_constant),reaction_constants | k11 (second_order_rate_constant),reaction_constants | k12 (first_order_rate_constant),reaction_constants | k13 (second_order_rate_constant),reaction_constants | k14 (first_order_rate_constant),reaction_constants | k15 (second_order_rate_constant),reaction_constants | k16 (first_order_rate_constant),reaction_constants | k17 (first_order_rate_constant),reaction_constants | k18 (first_order_rate_constant),reaction_constants | k19 (first_order_rate_constant),reaction_constants | k2 (first_order_rate_constant),reaction_constants | k20 (first_order_rate_constant),reaction_constants | k21 (second_order_rate_constant),reaction_constants | k22 (first_order_rate_constant),reaction_constants | k23 (second_order_rate_constant),reaction_constants | k24 (first_order_rate_constant),reaction_constants | k25 (second_order_rate_constant),reaction_constants | k26 (first_order_rate_constant),reaction_constants | k27 (second_order_rate_constant),reaction_constants | k28 (first_order_rate_constant),reaction_constants | k29 (second_order_rate_constant),reaction_constants | k3 (second_order_rate_constant),reaction_constants | k30 (first_order_rate_constant),reaction_constants | k31 (second_order_rate_constant),reaction_constants | k32 (first_order_rate_constant),reaction_constants | k4 (first_order_rate_constant),reaction_constants | k5 (second_order_rate_constant),reaction_constants | k6 (first_order_rate_constant),reaction_constants | k7 (second_order_rate_constant),reaction_constants | k8 (first_order_rate_constant),reaction_constants | k9 (second_order_rate_constant),reaction_constants | Na (millimolar),reaction_constants | Na_ (millimolar)
0.01,0.00363707,0.00363707,0.0197759,0.020171,0.110205,0.00703006,0.0382209,0.0162245,0.0886466,0.00935341,-0.298199,0.0203045,-0.00210893,0.0432896,0.235321,0.0487052,0.266155,0.390141,2.12089,0.183121,1.00069,0.111803,-3.56441,0.146181,-0.0151831,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.011,0.00365654,0.00365654,0.019157,0.0202794,0.106756,0.00706768,0.0370249,0.0163117,0.0858726,0.00905993,-0.288829,0.0203024,-0.0021041,0.0435212,0.227957,0.0489672,0.257826,0.392228,2.05452,0.184106,0.969378,0.108295,-3.45241,0.146165,-0.0151484,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.012,0.00367539,0.00367539,0.0185577,0.0203845,0.103416,0.00710412,0.0358664,0.0163962,0.0831858,0.00877567,-0.279753,0.0203003,-0.00209942,0.0437456,0.220825,0.049221,0.249759,0.39425,1.99024,0.18506,0.939048,0.104897,-3.34393,0.14615,-0.0151147,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.013,0.00369366,0.00369366,0.0179771,0.0204863,0.100181,0.00713942,0.0347444,0.0164781,0.0805836,0.00850034,-0.270963,0.0202982,-0.00209488,0.043963,0.213917,0.0494668,0.241946,0.396209,1.92798,0.185984,0.909672,0.101606,-3.23886,0.146135,-0.015082,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.014,0.00371135,0.00371135,0.0174148,0.0205849,0.0970474,0.00717362,0.0336577,0.0165574,0.078063,0.00823367,-0.262449,0.0202961,-0.00209047,0.0441735,0.207226,0.0497049,0.234378,0.398107,1.86767,0.186879,0.881219,0.0984182,-3.13709,0.14612,-0.0150502,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.015,0.00372849,0.00372849,0.0168702,0.0206804,0.0940123,0.00720674,0.0326051,0.0166343,0.0756217,0.00797538,-0.254203,0.020294,-0.00208618,0.0443775,0.200746,0.0499356,0.227048,0.399945,1.80927,0.187747,0.85366,0.0953309,-3.03852,0.146105,-0.0150194,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.016,0.00374509,0.00374509,0.0163427,0.0207729,0.0910726,0.00723883,0.0315856,0.0167087,0.073257,0.00772521,-0.246216,0.0202919,-0.00208203,0.044575,0.194469,0.0501591,0.219949,0.401726,1.75269,0.188587,0.826967,0.0923405,-2.94305,0.14609,-0.0149894,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.017,0.00376118,0.00376118,0.0158318,0.0208626,0.0882253,0.00726992,0.0305981,0.0167808,0.0709667,0.00748289,-0.238479,0.0202898,-0.00207799,0.0447664,0.188389,0.0503755,0.213072,0.403451,1.6979,0.189401,0.801112,0.089444,-2.85058,0.146075,-0.0149604,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.018,0.00377676,0.00377676,0.0153369,0.0209494,0.0854674,0.00730004,0.0296417,0.0168506,0.0687483,0.00724818,-0.230986,0.0202877,-0.00207407,0.0449519,0.1825,0.0505853,0.206411,0.405122,1.64482,0.190189,0.776069,0.0866386,-2.76101,0.14606,-0.0149322,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.019,0.00379186,0.00379186,0.0148575,0.0210335,0.0827961,0.00732921,0.0287152,0.0169183,0.0665996,0.00702085,-0.223728,0.0202857,-0.00207027,0.0451315,0.176796,0.0507884,0.19996,0.406741,1.59342,0.190953,0.751813,0.0839212,-2.67425,0.146045,-0.0149048,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.02,0.00380648,0.00380648,0.0143933,0.021115,0.0802087,0.00735748,0.0278179,0.0169839,0.0645183,0.00680066,-0.216698,0.0202836,-0.00206658,0.0453055,0.171271,0.0509852,0.193711,0.408309,1.54362,0.191693,0.728319,0.0812892,-2.59022,0.14603,-0.0148782,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.021,0.00382065,0.00382065,0.0139436,0.021194,0.0777026,0.00738486,0.0269487,0.0170474,0.0625025,0.00658738,-0.209889,0.0202815,-0.00206299,0.0454741,0.16592,0.0511759,0.187659,0.409829,1.49539,0.19241,0.705563,0.0787399,-2.50883,0.146015,-0.0148524,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.022,0.00383437,0.00383437,0.013508,0.0212705,0.0752752,0.00741139,0.0261069,0.0171089,0.0605499,0.0063808,-0.203293,0.0202795,-0.0020595,0.0456374,0.160737,0.0513606,0.181796,0.411301,1.44868,0.193105,0.683521,0.0762707,-2.42999,0.146001,-0.0148273,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.023,0.00384767,0.00384767,0.0130861,0.0213446,0.0729241,0.00743708,0.0252915,0.0171685,0.0586587,0.00618072,-0.196905,0.0202774,-0.00205612,0.0457956,0.155717,0.0515396,0.176118,0.412727,1.40343,0.193777,0.662173,0.073879,-2.35364,0.145986,-0.0148029,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.024,0.00386055,0.00386055,0.0126775,0.0214163,0.0706469,0.00746198,0.0245017,0.0172262,0.056827,0.00598692,-0.190718,0.0202754,-0.00205283,0.0459489,0.150854,0.0517129,0.170619,0.414108,1.35961,0.194429,0.641495,0.0715625,-2.27968,0.145971,-0.0147792,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.025,0.00387303,0.00387303,0.0122817,0.0214859,0.0684412,0.0074861,0.0237368,0.0172822,0.0550528,0.00579921,-0.184725,0.0202733,-0.00204964,0.0460974,0.146145,0.0518809,0.165292,0.415446,1.31716,0.195061,0.621466,0.0693188,-2.20805,0.145956,-0.0147562,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.026,0.00388512,0.00388512,0.0118983,0.0215532,0.0663049,0.00750946,0.0229959,0.0173364,0.0533343,0.0056174,-0.178921,0.0202713,-0.00204653,0.0462413,0.141583,0.0520436,0.160132,0.416743,1.27605,0.195672,0.602068,0.0671456,-2.13866,0.145941,-0.0147339,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.027,0.00389683,0.00389683,0.011527,0.0216185,0.0642356,0.0075321,0.0222783,0.0173888,0.0516699,0.00544131,-0.173298,0.0202692,-0.00204352,0.0463806,0.137164,0.0522012,0.155135,0.417999,1.23623,0.196265,0.583278,0.0650407,-2.07146,0.145927,-0.0147122,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.028,0.00390818,0.00390818,0.0111674,0.0216817,0.0622314,0.00755402,0.0215832,0.0174397,0.0500577,0.00527075,-0.167853,0.0202672,-0.00204059,0.0465156,0.132885,0.0523539,0.150294,0.419216,1.19766,0.196839,0.56508,0.063002,-2.00637,0.145912,-0.0146911,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.029,0.00391917,0.00391917,0.010819,0.021743,0.0602902,0.00757527,0.0209099,0.017489,0.0484962,0.00510554,-0.162579,0.0202651,-0.00203774,0.0466464,0.12874,0.0525018,0.145606,0.420395,1.1603,0.197395,0.547453,0.0610273,-1.94333,0.145897,-0.0146706,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.03,0.00392982,0.00392982,0.0104816,0.0218023,0.0584099,0.00759585,0.0202578,0.0175367,0.0469838,0.00494553,-0.15747,0.0202631,-0.00203497,0.0467732,0.124725,0.0526452,0.141065,0.421537,1.12411,0.197934,0.530379,0.0591147,-1.88226,0.145883,-0.0146507,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.031,0.00394014,0.00394014,0.0101548,0.0218598,0.0565888,0.00761579,0.0196263,0.017583,0.0455189,0.00479055,-0.152522,0.0202611,-0.00203228,0.0468959,0.120836,0.052784,0.136667,0.422643,1.08907,0.198456,0.513843,0.0572621,-1.82312,0.145868,-0.0146313,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.032,0.00395013,0.00395013,0.00983829,0.0219155,0.0548248,0.00763511,0.0190145,0.0176278,0.0441,0.00464044,-0.147729,0.020259,-0.00202967,0.0470149,0.11707,0.0529185,0.132407,0.423715,1.05512,0.198962,0.497826,0.0554678,-1.76583,0.145853,-0.0146125,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.033,0.00395982,0.00395982,0.00953171,0.0219695,0.0531163,0.00765383,0.018422,0.0176712,0.0427257,0.00449504,-0.143087,0.020257,-0.00202713,0.0471301,0.113422,0.0530489,0.128281,0.424754,1.02224,0.199452,0.482312,0.0537298,-1.71034,0.145839,-0.0145942,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.034,0.0039692,0.0039692,0.00923476,0.0220218,0.0514615,0.00767196,0.017848,0.0177132,0.0413946,0.00435421,-0.138591,0.020255,-0.00202465,0.0472418,0.109888,0.0531752,0.124284,0.42576,0.990393,0.199927,0.467285,0.0520465,-1.6566,0.145824,-0.0145764,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.035,0.00397829,0.00397829,0.00894713,0.0220725,0.0498586,0.00768953,0.0172921,0.017754,0.0401053,0.0042178,-0.134236,0.020253,-0.00202225,0.0473499,0.106466,0.0532975,0.120413,0.426735,0.959547,0.200387,0.452731,0.050416,-1.60454,0.14581,-0.0145591,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.036,0.0039871,0.0039871,0.00866854,0.0221215,0.0483061,0.00770655,0.0167537,0.0177935,0.0388565,0.00408568,-0.130018,0.0202509,-0.00201991,0.0474547,0.103151,0.053416,0.116663,0.42768,0.929669,0.200833,0.438633,0.0488367,-1.55412,0.145795,-0.0145422,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.037,0.00399563,0.00399563,0.00839871,0.0221691,0.0468024,0.00772304,0.0162322,0.0178317,0.0376469,0.00395771,-0.125932,0.0202489,-0.00201764,0.0475563,0.0999398,0.0535309,0.113032,0.428595,0.900731,0.201264,0.424979,0.0473071,-1.50529,0.145781,-0.0145259,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.038,0.0040039,0.0040039,0.00813734,0.0222152,0.0453458,0.00773902,0.0157271,0.0178688,0.0364753,0.00383376,-0.121975,0.0202469,-0.00201543,0.0476547,0.0968297,0.0536421,0.109514,0.429481,0.8727,0.201683,0.411753,0.0458255,-1.45798,0.145766,-0.0145099,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.039,0.00401191,0.00401191,0.00788418,0.0222598,0.043935,0.00775451,0.0152378,0.0179047,0.0353405,0.0037137,-0.118142,0.0202449,-0.00201328,0.04775,0.0938172,0.05375,0.106107,0.430341,0.84555,0.202088,0.398943,0.0443904,-1.41216,0.145752,-0.0144944,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
